,Lipid ID,Mass,Type,Predicted Retention Time,Actual Retention Time
0,Cer (d18:2/16:1),534.5,Test,6.94,
1,Cer (d18:2/16:0),536.5,Train,7.57,7.62
2,Cer (d18:1/16:1),536.5,Test,7.42,
3,Cer (d18:1/16:0),538.6,Train,8.05,8.04
4,Cer (d18:0/16:0),540.5,Test,8.53,
5,Cer (d18:1/17:0),552.7,Train,8.4,8.4
6,Cer (d18:2/18:1),562.5,Test,7.65,
7,Cer (d18:2/18:0),564.5,Test,8.29,
8,Cer (d18:1/18:1),564.5,Test,8.13,
9,Cer (d18:1/18:0),566.6,Train,8.76,8.72
10,Cer (d18:0/18:0),568.6,Test,9.24,
11,Cer (d18:2/20:0),592.6,Test,9.03,
12,Cer (d18:1/20:1),592.6,Test,8.88,
13,Cer (d18:1/20:0),594.6,Train,9.51,9.5
14,Cer (d18:0/20:0),596.6,Test,9.99,
15,Cer (d18:2/22:0),620.6,Train,9.81,9.78
16,Cer (d18:1/22:1),620.6,Train,9.65,9.68
17,Cer (d18:1/22:0),622.6,Train,10.29,10.3
18,Cer (d18:0/22:0),624.6,Test,10.77,
19,Cer (d18:2/24:2),644.6,Test,9.33,
20,Cer (d18:2/24:1),646.6,Train,9.97,9.94
21,Cer (d18:2/24:0),648.6,Train,10.61,10.62
22,Cer (d18:1/24:1),648.6,Train,10.46,10.46
23,Cer (d18:1/24:0),650.7,Train,11.09,11.12
24,Cer (d18:0/24:1),650.9,Test,10.94,
25,Cer (d18:0/24:0),652.9,Test,11.58,
